id,raw_term,term,reading,romaji,definition,pitch_accent,affix_type,lesson_id
6d24298c-85fa-4298-a242-09434a1b8332,例,例,れい,rei,例子,1,none,1
ad477058-36c6-4ada-b20b-a4f808abf7a7,～さん,さん,さん,san,～先生；小姐(敬稱),-1,suffix,1
caa4680f-902e-4d49-bf01-462d0acfee17,ベトナム,ベトナム,ベトナム,betonamu,越南,0,none,1
f71e8990-3288-4008-b9a7-92f6faa07c2f,学生,学生,がくせい,gakusei,學生,0,none,1
727acec9-bf36-40a4-afd0-0a17d0f0dd4f,インドネシア,インドネシア,インドネシア,indoneshia,印尼,4,none,1
b298b1ee-9eaa-436c-a469-6ae3e3f14fd9,中国,中国,ちゅうごく,chuugoku,中國,1,none,1
cdfb6dc3-44f8-4c42-9fa0-bf217805bf12,アメリカ,アメリカ,アメリカ,amerika,美國,0,none,1
bad3a81a-568a-49f0-bd12-18428937d975,韓国,韓国,かんこく,kankoku,韓國,1,none,1
73b09164-c7d4-4fe9-9e0d-f85512d09e74,オーストラリア,オーストラリア,オーストラリア,oosutoraria,澳洲,5,none,1
0393cfc5-b6ea-412d-8f54-c0c517654236,ブラジル,ブラジル,ブラジル,burajiru,巴西,0,none,1
998da8f6-f7e3-4573-9704-4656968a1690,タンザニア,タンザニア,タンザニア,tanzania,坦尚尼亞,0,none,1
6b5a2f8f-495a-45fa-adb1-4c6cb714c1ef,はい,はい,はい,hai,對；好；是,1,none,1
a70deb62-2376-496b-80f4-0d494b854fa6,そうです,そうです,そうです,soudesu,就是那樣,1,none,1
3c1767c5-f151-4e18-8e79-0b2475b5b036,いいえ,いいえ,いいえ,iie,不對；不是,0,none,1
ed33b43c-30d9-4321-9212-bb1e6f516171,タイ,タイ,タイ,tai,泰國,1,none,1
127a37bc-53f0-4e7f-9154-6e2ce0985ddf,クラス,クラス,クラス,kurasu,班級,1,none,1
d109927c-7275-40e0-8363-7f8c4de5f8b8,はじめまして,はじめまして,はじめまして,hajimemashite,初次見面,4,none,1
2ddb4292-fb7e-44a7-920a-b6a2987d9130,どうぞよろしく,どうぞよろしく,どうぞよろしく,douzoyoroshiku,請多指教,-1,none,1
f856de6b-dcc6-45bb-91b5-99405512292b,これ,これ,これ,kore,這個,0,none,1
6b438b40-4091-4b3a-aff1-3714b016aba3,それ,それ,それ,sore,(你)那個,0,none,1
1893a34c-e323-470a-b92f-8b136a74ae74,あれ,あれ,あれ,are,那個,0,none,1
60109fad-f9a9-485d-912a-8fb7a7849ae7,本,本,ほん,hon,書,1,none,1
90d5abc7-8dfa-4a5c-b5be-d3960772a41e,ノート,ノート,ノート,nooto,筆記本,1,none,1
9ef460b3-9e7f-49b8-b5db-78e71b848752,辞書,辞書,じしょ,jisho,字典,1,none,1
910e00d1-a5a1-4bfd-9cce-71ce993baac9,新聞,新聞,しんぶん,shinbun,報紙,0,none,1
c0134ad1-4b97-43c9-8ebb-6d27f2c92262,雑誌,雑誌,ざっし,zasshi,雜誌,0,none,1
4f825a29-3ed0-4310-a3b1-a66ecc0a9dea,鍵,鍵,かぎ,kagi,鑰匙,2,none,1
2c56a439-925b-4d5b-ac2c-45adb9936770,傘,傘,かさ,kasa,傘,1,none,1
9abe3b91-8c18-4645-b016-1d361c2032e4,かばん,かばん,かばん,kaban,包包,0,none,1
14364ab1-56d2-490a-8be5-6bcbcc6cc714,時計,時計,とけい,tokei,時鐘；錶,0,none,1
49bc3045-d48c-4596-8611-d5f19044960a,消しゴム,消しゴム,けしごむ,keshigomu,橡皮擦,0,none,1
9a6db2c3-e823-465c-b524-01ac416800f1,ボールペン,ボールペン,ボールペン,boorupen,原子筆,0,none,1
5a27235d-d472-4dd5-886c-7caa2ab52568,テレビ,テレビ,テレビ,terebi,電視,1,none,1
ee82aece-63a1-40cd-abfb-999eb4bfa50d,コンピュータ,コンピュータ,コンピュータ,konpyuuta,電腦,3,none,1
9ae650d2-15eb-41b4-8864-39b2e1884d07,車,車,くるま,kuruma,汽車,0,none,1
6d722c85-9221-4a9c-ad17-1ae5448cda5a,カメラ,カメラ,カメラ,kamera,相機,1,none,1
e3284ba9-1bfe-4bdf-a940-f33cbbeac6d0,英語,英語,えいご,eigo,英文,0,none,1
04dd3971-d561-4722-9a89-f6692e7a0f2c,日本語,日本語,にほんご,nihongo,日文,0,none,1
e587a720-d7ac-4421-8d35-e24300cd9d90,～語,語,ご,go,～文,-1,suffix,1
97a07ebc-9ec9-4bd8-8c48-ff6cd0f241ab,宿題,宿題,しゅくだい,shukudai,作業,0,none,1
5fa2bee7-3fb8-4743-8803-55f444765aaf,ペン,ペン,ペン,pen,筆,1,none,1
f1a9af30-b954-4b68-b21a-640d60764f0e,先生,先生,せんせい,sensei,老師(敬稱),3,none,1
8e7312c3-f887-4172-865f-7e89dad6930c,部屋,部屋,へや,heya,房間,2,none,1
6c261697-135b-4150-8332-a87cd681fc2a,男,男,おとこ,otoko,男人,3,none,1
1bccc488-8edc-423d-98dc-1f437ef8d43d,女,女,おんな,onna,女人,3,none,1
617bdb30-3734-4ade-9ce6-74cf5ca6f93d,日本,日本,にほん,nihon,日本,2,none,1
46ed4845-de8c-49be-9072-9ea74faf28fb,イタリア,イタリア,イタリア,itaria,義大利,0,none,1
1c1decbe-d993-492e-b280-e05bba6f4b80,すみません,すみません,すみません,sumimasen,不好意思；抱歉,4,none,1
9cea0638-f56d-4942-a25b-2c4809bfae8b,ありがとうございます,ありがとうございます,ありがとうございます,arigatougozaimasu,謝謝,-1,none,1
7dbf37fe-8106-4963-b3bb-c5217253cebb,ドイツ,ドイツ,ドイツ,doitsu,德國,1,none,1
cae63196-9f1a-4a54-9d30-b730177b6057,お菓子,お菓子,おかし,okashi,點心,2,none,1
6300f51e-b8eb-4aaf-9594-0073e7c30bab,お～,お,お,o,(美化語，表客氣、尊敬),-1,prefix,1
2de24fd9-a81f-4fbc-a917-e330fba0d5db,何,何,なに,nani,什麼,1,none,1
a381d1a8-05db-4bea-a8f4-a8dd80b268f6,ポスト,ポスト,ポスト,posuto,郵筒；信箱,1,none,1
063fd737-e323-4bb8-86be-b5bb94d3d899,おにぎり,おにぎり,おにぎり,onigiri,飯糰,2,none,1
6232a471-9c17-48e1-860e-97b336f543ac,お茶,お茶,おちゃ,ocha,茶,0,none,1
ec204db8-242a-4ac9-8c3e-e2799d4bfdaf,お弁当,お弁当,おべんとう,obentou,便當,0,none,1
6d018b0c-5f31-4fc3-b4be-50464afad930,この～,この,この,kono,這個～,0,prefix,1
9715e141-1df1-4035-a158-d1c0eafefb0b,その～,その,その,sono,(你)那個～,0,prefix,1
9e190b71-d8f1-4803-ae4d-bf66f6c74530,あの～,あの,あの,ano,那個～,0,prefix,1
df62ffd8-a66b-4281-8294-7532b3c1d348,誰,誰,だれ,dare,誰,1,none,1
17ad97bd-542e-46f6-b90d-4db17e18c492,どなた,どなた,どなた,donata,哪一位(禮貌用語),1,none,1
a836f653-ca95-476a-909b-f88c8a8861c8,人,人,ひと,hito,人,0,none,1
beaf05c8-c4ba-4a61-8a4e-7662be3358c9,方,方,かた,kata,人(敬稱),2,none,1
73d2a778-1185-470d-9ee2-3dd22fda4319,アインシュタイン,アインシュタイン,アインシュタイン,ainshutain,愛因斯坦(人名),5,none,1
d5959d96-86c0-492c-af50-e026934caa30,チャップリン,チャップリン,チャップリン,chappurin,卓別林(人名),1,none,1
ccf3b50c-dce0-49e5-9bdb-4af1bec18615,野口英世,野口英世,のぐちひでよ,noguchihideyo,野口英世(人名),-1,none,1
8b8a7ce1-71a4-4408-83b8-e320eff1b9a0,クレオパトラ,クレオパトラ,クレオパトラ,kureopatora,克麗奧佩脫拉七世(人名),4,none,1
b4da4189-274a-42dd-9404-c96d60b1c03b,どれ,どれ,どれ,dore,哪個,1,none,1
f9c1e8e9-2154-4336-8ed2-e42a4447d6ef,どの～,どの,どの,dono,哪個～,1,prefix,1
4bb6cb84-3d55-49e6-a173-c17502c10834,名前,名前,なまえ,namae,名字,0,none,1
d6beb1ed-8222-4598-b25d-3355f3eebec2,国,国,くに,kuni,國家；故鄉；家,0,none,1
4723ab49-352c-495a-9463-47b49123c7e2,専門,専門,せんもん,senmon,主修；專業,0,none,1
23338c76-05b3-47ed-97d4-31b975de9d8e,社会学,社会学,しゃかいがく,shakaigaku,社會學,2,none,1
9dadc0ed-9a93-448e-9a63-54bbbc16c129,私,私,わたし,watashi,我,0,none,1
c94c516d-e7c4-481f-a084-fb641bae076f,自己紹介,自己紹介,じこしょうかい,jikoshoukai,自我介紹,3,none,1
288f19fa-2b4c-4ee1-b5a1-580b96b0b0d2,子供,子供,こども,kodomo,小孩,0,none,1
715d3984-ed8a-4d9e-8af4-b07d94896c35,外国,外国,がいこく,gaikoku,外國；國外,0,none,1
9552c2ff-c11e-453b-9691-9e99f695fb7e,CD,CD,シーディー,shiidii,CD,3,none,1
7eca37e6-5739-4193-bf10-fa46fa5ae692,あなた,あなた,あなた,anata,你,2,none,1
06119f0c-9962-4bb1-87fc-f673481e9c29,～ちゃん,ちゃん,ちゃん,chan,(親暱稱呼),-1,suffix,1
234b07ec-040e-441a-adc2-8d20a0d51a0f,机,机,つくえ,tsukue,書桌,0,none,1
ab565a1d-7f0d-4579-9649-802e96648f5a,ここ,ここ,ここ,koko,這裡,0,none,2
5d85b3a7-fc39-4770-9f2a-24b1f7fa1b7d,そこ,そこ,そこ,soko,(你)那裡,0,none,2
e25c3864-6596-45d4-91ce-52027a35a275,あそこ,あそこ,あそこ,asoko,那裡,0,none,2
adf79e89-6d3e-4fc6-b1f4-b9fed5067709,図書館,図書館,としょかん,toshokan,圖書館,2,none,2
1f97f7ed-d2ad-443f-807a-e0ba6b9550b0,大学,大学,だいがく,daigaku,大學,0,none,2
2a96cdaa-186e-4672-ba88-92dee6b70b9e,体育館,体育館,たいいくかん,taiikukan,體育館,4,none,2
ef02467a-f04e-4f25-8343-0fa5c3eaec8e,寮,寮,りょう,ryou,宿舍,1,none,2
63436c5d-d7f5-40f9-b95c-0e26f3023ffa,教室,教室,きょうしつ,kyoushitsu,教室,0,none,2
d1968beb-f797-4ee0-8e96-742dea22f7e9,事務室,事務室,じむしつ,jimushitsu,辦公室,2,none,2
b6d2330b-e6ff-491e-a300-1af133d7342a,研究室,研究室,けんきゅうしつ,kenkyuushitsu,研究室,3,none,2
c40faf24-6737-4510-a087-011c3fd23e6f,会議室,会議室,かいぎしつ,kaigishitsu,會議室,3,none,2
539fe691-7f18-408c-ac01-3680067cb15b,食堂,食堂,しょくどう,shokudou,食堂,0,none,2
0f8fccf9-9587-494c-a0ba-ac7244c691ed,レストラン,レストラン,レストラン,resutoran,餐廳,1,none,2
541e6a91-84af-45ea-b17b-defd9ac8e69d,学校,学校,がっこう,gakkou,學校,0,none,2
7d0f3085-8b88-48b7-9d83-1184d709fa31,会社,会社,かいしゃ,kaisha,公司,0,none,2
